lexical_id,entry_id,word,word_with_airab_or_variant,part_of_speech,domain,definition,language_direction,source_dictionary,normalized_word,normalized_definition,extra,publisher,publisher_url,prepared_by
slx_a5824611ad356323,11,آفات سماوي,آفات سماوي:,,Arabic → Sindhi,آسماني مصيبتون.,arabic,Arabic → Sindhi,آفات سماوي,آسماني مصيبتون,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_9dbd98f7131aa8cc,12,افق,افق:,,Arabic → Sindhi,(و)جد نظر جتي زمين ۽ آسمان اچي ملن.,arabic,Arabic → Sindhi,افق,و جد نظر جتي زمين آسمان اچي ملن,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_771485f12eff57c8,13,آفاق,آفاق:,,Arabic → Sindhi,(ج) اڀ.,arabic,Arabic → Sindhi,آفاق,ج اڀ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_5bce01078fb77777,14,آل,آل:,,Arabic → Sindhi,اولاد، نسل.,arabic,Arabic → Sindhi,آل,اولاد نسل,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_3a2673d02d2cac2f,15,آل رسول |,آل رسول | :,,Arabic → Sindhi,نبي اڪرم | جو اولاد، حضرت بي بي فاطمة رضھ جي بطن مبارڪ مان.,arabic,Arabic → Sindhi,آل رسول,نبي اڪرم جو اولاد حضرت بي بي فاطمة رضھ جي بطن مبارڪ مان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_49842ec425603868,16,آلت,آلت:,,Arabic → Sindhi,(و)اوزار ُ، ھٿيار.,arabic,Arabic → Sindhi,آلت,و اوزار ھٿيار,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_1ae1ceb855ad5841,17,آلات,آلات:,,Arabic → Sindhi,(ج) اوزار، ھٿيار.,arabic,Arabic → Sindhi,آلات,ج اوزار ھٿيار,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_795318fe96b151dc,18,امر,امر:,,Arabic → Sindhi,حڪم، بادشاھي، قضا.,arabic,Arabic → Sindhi,امر,حڪم بادشاھي قضا,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_ef812dba88931b21,19,امير,امير:,,Arabic → Sindhi,(و) حاڪم، سردار، اڳواڻ.,arabic,Arabic → Sindhi,امير,و حاڪم سردار اڳواڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_1c76851d35b80b72,20,امراء,امـَراء:,,Arabic → Sindhi,(ج)امراء.,arabic,Arabic → Sindhi,امراء,ج امراء,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_c0064afad39ee5f3,21,اميرالبحر,اميرالبحر:,,Arabic → Sindhi,بحري فوج جو وڏو عملدار.,arabic,Arabic → Sindhi,اميرالبحر,بحري فوج جو وڏو عملدار,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_2ef1be8bd9937904,22,اميرالمؤمنين,اميرالمؤمنين:,,Arabic → Sindhi,مسلمانن جو حاڪم.,arabic,Arabic → Sindhi,اميرالمؤمنين,مسلمانن جو حاڪم,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_5579d3ea770d0072,23,آمر,آمـِر:,,Arabic → Sindhi,حاڪم، ڊڪٽيٽر.,arabic,Arabic → Sindhi,آمر,حاڪم ڊڪٽيٽر,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_44868d455f262c31,24,آمريت,آمريت:,,Arabic → Sindhi,ڏاڍ ۽ ظلم جي حڪومت.,arabic,Arabic → Sindhi,آمريت,ڏاڍ ظلم جي حڪومت,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_c099880d1ed66b91,25,آمنا و,آمـَنا و,,Arabic → Sindhi,صـَدقنا: اسان ايمان آندو ۽ اسان سچ ڄاتو.,arabic,Arabic → Sindhi,آمنا و,صـدقنا اسان ايمان آندو اسان سچ ڄاتو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_94a40bf1203ce0ff,26,آمنه,آمنه :,,Arabic → Sindhi,نبي اڪرم | جي والده جو نالو.,arabic,Arabic → Sindhi,آمنه,نبي اڪرم جي والده جو نالو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_e05c0be5b0758083,27,آمين,آمين:,,Arabic → Sindhi,شال ائين ٿئي.,arabic,Arabic → Sindhi,آمين,شال ائين ٿئي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_207438eb27ff41e5,28,آنا فانا,آنا فـَانا:,,Arabic → Sindhi,بروقت، اتي جو اتي.,arabic,Arabic → Sindhi,آنا فانا,بروقت اتي جو اتي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_700a578064377a0d,29,ابابيل,ابابيل:,noun,Arabic → Sindhi,اسم جمع آھي، جنھن جي معنيٰ آھي ولـَر َ/ وڳــَر َ، قطارون، فوجون، ڪـَٽڪ، غلط العوام ۾ ھن جي معنيٰ پکيءَ جو قسم آھي. قرآن مجيد جي سورة الفيل ۾ ابابيل جي معنيٰ مفسرين ڪرام بھ سنڌيءَ ۾ ولر، اردو ۾ جھنڊ ۽ انگريزيءَ ۾ Swarms ڏني آھي. مستشرقين جيئن تھ قرآن مجيد کي الھامي ڪتاب نٿا مڃين، انھن ھن لفظ جي معنيٰ ھڪ ننڍو پکي (Swallow) ڏني آھي. ھڪ مستشرق Staingass تھ پنھنجي گندي ذھنيت جو مظاھرو ڪندي معنيٰ ڏني آھي. Fabulous bird (ھڪ افسانوي پکي).,arabic,Arabic → Sindhi,ابابيل,اسم جمع آھي جنھن جي معني آھي ولـر وڳــر قطارون فوجون ڪـٽڪ غلط العوام ھن جي معني پکيء جو قسم آھي قرآن مجيد جي سورة الفيل ابابيل جي معني مفسرين ڪرام بھ سنڌيء ولر اردو جھنڊ انگريزيء swarms ڏني آھي مستشرقين جيئن تھ قرآن مجيد کي الھامي ڪتاب نٿا مڃين انھن ھن لفظ جي معني ھڪ ننڍو پکي swallow ڏني آھي ھڪ مستشرق staingass تھ پنھنجي گندي ذھنيت جو مظاھرو ڪندي معني ڏني آھي fabulous bird ھڪ افسانوي پکي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_3374c803b0147612,30,ابتدا,ابتدا:,,Arabic → Sindhi,شروعات.,arabic,Arabic → Sindhi,ابتدا,شروعات,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_a75a9687f208aa01,31,ابتر,ابتر:,,Arabic → Sindhi,(بـَتـَر: ڪٽي ڇڏڻ) بي اولاد.,arabic,Arabic → Sindhi,ابتر,بـتـر ڪٽي ڇڏڻ بي اولاد,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_7d3cc193ad1570dd,32,ابجد,ابجد:,,Arabic → Sindhi,ڳاڻاٽي جي ترتيب موجب عربي الف بي مان ٺھيل اٺ لفظ (ابجد، ھوز، حطي، ڪلمن وغيره).,arabic,Arabic → Sindhi,ابجد,ڳاڻاٽي جي ترتيب موجب عربي الف بي مان ٺھيل اٺ لفظ ابجد ھوز حطي ڪلمن وغيره,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_80983d059296e1b1,33,ابد,ابـد:,,Arabic → Sindhi,اھو وقت جنھن جي شروعات معلوم نھ ھجي. ازلي، قديم، ھميشه رھندڙ.,arabic,Arabic → Sindhi,ابد,اھو وقت جنھن جي شروعات معلوم نھ ھجي ازلي قديم ھميشه رھندڙ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_b5e16ca5274284a7,34,ابدي,ابـَدي:,,Arabic → Sindhi,اول کان قائم رھندڙ.,arabic,Arabic → Sindhi,ابدي,اول کان قائم رھندڙ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_5766ec8e64a1eecb,35,ابدا,ابـَدا:,,Arabic → Sindhi,ھميشه لاءِ، ھرگز نھ.,arabic,Arabic → Sindhi,ابدا,ھميشه لاء ھرگز نھ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_0a96d875c19c8516,36,ابداع,ابداع:,,Arabic → Sindhi,(بدع: نئين ڳالھھ) نئين ڳالھھ پيدا ڪرڻ.,arabic,Arabic → Sindhi,ابداع,بدع نئين ڳالھھ نئين ڳالھھ پيدا ڪرڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_f400ab0167cdabb6,37,ابدال,ابدال:,,Arabic → Sindhi,خدا جي محبت ۾ دنيا کان پري رھندڙ. مستانو فقير.,arabic,Arabic → Sindhi,ابدال,خدا جي محبت دنيا کان پري رھندڙ مستانو فقير,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_d79469d29be322a3,38,ابر,ابر:,,Arabic → Sindhi,سـُئي.,arabic,Arabic → Sindhi,ابر,سـئي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_20223223c0a69c53,39,ابراھيم,اِبراھـِيم:,,Arabic → Sindhi,ھڪ عظيم پيغمبر جو نالو.,arabic,Arabic → Sindhi,ابراھيم,ھڪ عظيم پيغمبر جو نالو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_1f099ccdc9ef8688,40,ابرق,ابرق:,,Arabic → Sindhi,ھڪ قسم جي معدني پيدائش.,arabic,Arabic → Sindhi,ابرق,ھڪ قسم جي معدني پيدائش,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_6ef72ec4e8b72b66,41,ابلق,ابلق:,,Arabic → Sindhi,اڇي ڪاري/ اڇي ڳاڙھي رنگ جو چٽن وارو گھوڙو.,arabic,Arabic → Sindhi,ابلق,اڇي ڪاري اڇي ڳاڙھي رنگ جو چٽن وارو گھوڙو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_c087525e59f2ff03,42,ابلاغ,اِبلاغ:,,Arabic → Sindhi,(بلغ: پھچڻ)پھچائڻ.,arabic,Arabic → Sindhi,ابلاغ,بلغ پھچڻ پھچائڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_2a6d2e63a29bba8b,43,ابله,ابله :,,Arabic → Sindhi,(بله: بيوقوفي) بيوقوف.,arabic,Arabic → Sindhi,ابله,بله بيوقوفي بيوقوف,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_69b9fe0dfa4b2f11,44,ابليس,ابليس:,,Arabic → Sindhi,(بـَلس: خدا جي رحمت کان مايوس ٿيڻ) شيلطان.,arabic,Arabic → Sindhi,ابليس,بـلس خدا جي رحمت کان مايوس ٿيڻ شيلطان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_b1eb60123b1812f2,45,ابن,ابن:,,Arabic → Sindhi,(و): پٽ.,arabic,Arabic → Sindhi,ابن,و پٽ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_bc759b07d5831d5d,46,ابناء,ابناء:,,Arabic → Sindhi,(ج)پٽ َ.,arabic,Arabic → Sindhi,ابناء,ج پٽ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_2e67612d4d673ef8,47,ابن البلد,ابن البلد:,,Arabic → Sindhi,شھري.,arabic,Arabic → Sindhi,ابن البلد,شھري,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_070ac49fc537850a,48,ابن السبيل,ابن السبيل:,,Arabic → Sindhi,مسافر.,arabic,Arabic → Sindhi,ابن السبيل,مسافر,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_efcb1db44c138070,49,ابن الوقت,ابن الوقت:,,Arabic → Sindhi,موقعھ پرست، خود غرض.,arabic,Arabic → Sindhi,ابن الوقت,موقعھ پرست خود غرض,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_3507bac017db1a9d,50,ابھام,اِبھام:,,Arabic → Sindhi,شڪ، گمان.,arabic,Arabic → Sindhi,ابھام,شڪ گمان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_f3887910466284b6,51,ابھم,ابھَمُ:,,Arabic → Sindhi,بي سمجھھ(ٻار)نادان، معصوم.,arabic,Arabic → Sindhi,ابھم,بي سمجھھ ٻار نادان معصوم,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_8ab73942a612724e,52,ابيات,ابيَات:,,Arabic → Sindhi,بيت جو جمع، بيت، شعر.,arabic,Arabic → Sindhi,ابيات,بيت جو جمع بيت شعر,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_50bd20522fac0678,53,ابيض,ابيضُ:,,Arabic → Sindhi,(بياض: سفيدي) اڇو.,arabic,Arabic → Sindhi,ابيض,بياض سفيدي اڇو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_3795486e07291140,54,اتباع,اتبَاعُ:,,Arabic → Sindhi,(تبع) پيروي.,arabic,Arabic → Sindhi,اتباع,تبع پيروي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_bd69724f05f4b49d,55,اتحاد,اتحاد:,,Arabic → Sindhi,(وحدت) ايڪو، ٻڌي.,arabic,Arabic → Sindhi,اتحاد,وحدت ايڪو ٻڌي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_5b7b5641458c63e0,56,اتصال,اتصالُ:,,Arabic → Sindhi,ڳانڍاپو، ميلاپ.,arabic,Arabic → Sindhi,اتصال,ڳانڍاپو ميلاپ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_77f713a4ca0edfaf,57,اتفاق,اتفاق:,,Arabic → Sindhi,ٻڌي، ايڪو.,arabic,Arabic → Sindhi,اتفاق,ٻڌي ايڪو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_df4913efb6253d8a,58,اتفاقا,اتفاقا:,,Arabic → Sindhi,اتفاقي، اوچتو.,arabic,Arabic → Sindhi,اتفاقا,اتفاقي اوچتو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_b8537828edaae562,59,اثاث (ج),اثاث (ج) :,,Arabic → Sindhi,ٽپڙ، فرنيچر.,arabic,Arabic → Sindhi,اثاث ج,ٽپڙ فرنيچر,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_e6e2a7bfc0954dfc,60,اثبات,اِثباتُ:,,Arabic → Sindhi,ثابتي، شاھدي.,arabic,Arabic → Sindhi,اثبات,ثابتي شاھدي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_b6a31b32351fe615,61,اثر,اثر:,,Arabic → Sindhi,تاثير، نتيجو، رد عمل، نشان، (ج)آثار.,arabic,Arabic → Sindhi,اثر,تاثير نتيجو رد عمل نشان ج آثار,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_90386d858225c76f,62,اثنا عشري,اِثنا عشري:,,Arabic → Sindhi,١٢ امامن کي مڃيندڙ، شيعن جو ھڪ فرقو.,arabic,Arabic → Sindhi,اثنا عشري,١٢ امامن کي مڃيندڙ شيعن جو ھڪ فرقو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_885cc1608c658e4a,63,ا جابة,اِ جَابَةَ:,,Arabic → Sindhi,منظوري،قبوليت،پاخانو اچڻ.,arabic,Arabic → Sindhi,ا جابة,منظوري قبوليت پاخانو اچڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_754901d53d94b0b5,64,اجازة,اجازةَ:,,Arabic → Sindhi,موڪل،منظوري،ھدو (مرشد يا استاد کان مليل).,arabic,Arabic → Sindhi,اجازة,موڪل منظوري ھدو مرشد يا استاد کان مليل,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_09090e00d5ec052e,65,اجتماع,اجتمَاعُ:,,Arabic → Sindhi,ميڙ، مجموعو، جماعت، ميٽنگ.,arabic,Arabic → Sindhi,اجتماع,ميڙ مجموعو جماعت ميٽنگ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_a0b10e2349426f3d,66,اجتماعي,اجتمَاعي:,,Arabic → Sindhi,جماعت سان تعلق رکندڙ.,arabic,Arabic → Sindhi,اجتماعي,جماعت سان تعلق رکندڙ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_73172e2a8079bd98,67,اجتناب,اجتِنابُ:,,Arabic → Sindhi,پاسو ڪرڻ، پرھيز ڪرڻ، پري رھڻ.,arabic,Arabic → Sindhi,اجتناب,پاسو ڪرڻ پرھيز ڪرڻ پري رھڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_f88e990af77dddbf,68,اجتھاد,اجتھاد:,,Arabic → Sindhi,ڪوشش،حديث مان پنھنجي علم موجب فقه جو ڪو نئون نڪتو پيدا ڪرڻ.,arabic,Arabic → Sindhi,اجتھاد,ڪوشش حديث مان پنھنجي علم موجب فقه جو ڪو نئون نڪتو پيدا ڪرڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_d36427c860d2fed4,69,اجر,اجر:,,Arabic → Sindhi,عيوض، ڦل، اجورو.,arabic,Arabic → Sindhi,اجر,عيوض ڦل اجورو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_f807e5bfe52c636f,70,اجرت,اجرت:,,Arabic → Sindhi,محنتاڻو، مزوري.,arabic,Arabic → Sindhi,اجرت,محنتاڻو مزوري,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_f31655c8bfe8bb4e,71,آجر,آجر:,,Arabic → Sindhi,اجرت تي ڪم وٺندڙ.,arabic,Arabic → Sindhi,آجر,اجرت تي ڪم وٺندڙ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_7e569f4a38196fdf,72,آجير,آجِير:,,Arabic → Sindhi,مزور، پورھيت.,arabic,Arabic → Sindhi,آجير,مزور پورھيت,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_9d128601ea9b9999,73,اجراء,اِجراءُ:,,Arabic → Sindhi,جاري ڪرڻ، بجاوري.,arabic,Arabic → Sindhi,اجراء,جاري ڪرڻ بجاوري,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_dff5bf4fe9db997b,74,اجرام,اجرام:,,Arabic → Sindhi,(جرم جو جمع) سيارا، گرھھ.,arabic,Arabic → Sindhi,اجرام,جرم جو جمع سيارا گرھھ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_9be3e640709cb9d2,75,اجل,اجل:,,Arabic → Sindhi,مقرر ٿيل وقت، قضا، موت.,arabic,Arabic → Sindhi,اجل,مقرر ٿيل وقت قضا موت,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_906b95c210ddab7b,76,اجلاس,اِجلاس:,,Arabic → Sindhi,ميٽنگ، جلسو.,arabic,Arabic → Sindhi,اجلاس,ميٽنگ جلسو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_17178e58cf0b2cf1,77,اجماع,اجماع:,,Arabic → Sindhi,اتفاق راءِ.,arabic,Arabic → Sindhi,اجماع,اتفاق راء,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_7c6b1bf02530a05d,78,اجمال,اِجمَال:,,Arabic → Sindhi,اختصار، مختصر بيان.,arabic,Arabic → Sindhi,اجمال,اختصار مختصر بيان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_bab822d3fd403217,79,اجنبي,اجنَبي:,,Arabic → Sindhi,پرڏيھي، پرديسي.,arabic,Arabic → Sindhi,اجنبي,پرڏيھي پرديسي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_e30da174087e5cb2,80,اجنبية,اجنَبيةَ:,,Arabic → Sindhi,ڌاريائي بيگانگي.,arabic,Arabic → Sindhi,اجنبية,ڌاريائي بيگانگي,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_2a8ce5ea568ba80e,81,احاطة,اِحاطَة:,,Arabic → Sindhi,ٻاھرين ديوار، حاطو.,arabic,Arabic → Sindhi,احاطة,ٻاھرين ديوار حاطو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_3fd9397251411f41,82,احتجاج,احـِتجَاج:,,Arabic → Sindhi,سخت اعتراض، مظاھرو.,arabic,Arabic → Sindhi,احتجاج,سخت اعتراض مظاھرو,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_acb10609acf30d1d,83,احتراز,احتراز:,,Arabic → Sindhi,پرھيز، پاسو ڪرڻ.,arabic,Arabic → Sindhi,احتراز,پرھيز پاسو ڪرڻ,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_27d87d9864898056,84,احترام,اِحترامُ:,,Arabic → Sindhi,عزت، مان.,arabic,Arabic → Sindhi,احترام,عزت مان,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_4f45842e8adb73c5,85,احتساب,اِحتسابُ:,,Arabic → Sindhi,حساب ڪتاب، ليکو، چوکو، چڪاس.,arabic,Arabic → Sindhi,احتساب,حساب ڪتاب ليکو چوکو چڪاس,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
slx_0e7caef83cf76e91,86,احتشام,اِحتشَام:,,Arabic → Sindhi,حشمت، دٻدٻو، رعب.,arabic,Arabic → Sindhi,احتشام,حشمت دٻدٻو رعب,,SindhiLanguage.org,https://sindhilanguage.org/,Amar Fayaz Buriro (امر فياض ٻرڙو)
